speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,1,no,18-29,F,Non M,Yes,north,No,Auckland,graduate,4,4,No,6,Auckland,short,English,NZ,None,No,No,None,5,4,2,8,9,184
1,1,0,no,60,F,Non M,Yes,south,No,Canterbury,high,4,3,No,5,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,185
1,2,0,lang,60,F,Non M,Yes,south,No,Canterbury,graduate,5,3,No,2,Canterbury,long,English,NZ,None,No,No,None,4,5,3,8,9,186
1,1,1,no,40-49,F,Non M,Yes,south,No,Canterbury,high,5,5,No,5,Canterbury,long,English,NZ,None,No,No,None,5,5,2,10,10,188
1,1,3,lang,30-39,F,Non M,Yes,north,No,Waikato,undergraduate,4,1,No,9,Waikato,long,English,NZ,None,No,No,None,5,5,2,5,10,189
1,1,0,no,50-59,F,Non M,Yes,north,No,Waikato,high,1,1,No,5,Waikato,long,English,NZ,None,No,No,None,5,5,2,2,10,190
1,1,1,no,40-49,F,Non M,Yes,south,No,Otago,high,2,2,Yes,4,Otago,long,English,NZ,None,No,No,None,5,5,2,4,10,191
2,2,1,lang,40-49,F,Non M,Yes,north,No,Auckland,graduate,5,4,No,9,Auckland,short,English,NZ,None,No,Yes,Bislama,5,5,4,9,10,192
1,1,0,no,60,F,Non M,Yes,north,No,Auckland,graduate,5,3,No,6,Auckland,long,English,NZ,None,No,No,None,5,5,2,8,10,193
0,0,1,no,60,F,Non M,Yes,north,No,Wairarapa,undergraduate,5,3,No,1,Wairarapa,long,English,NZ,None,No,No,None,5,4,0,8,9,194
1,1,0,lang,60,F,Non M,Yes,equal,No,Auckland,graduate,4,4,No,3,Auckland,short,English,NZ,deu,No,No,None,5,5,2,8,10,195
1,2,0,lang,18-29,NB,Non M,Yes,north,No,Wellington,high,5,4,No,8,Wellington,long,English,NZ,"jpn,vnm",No,No,None,5,5,3,9,10,197
1,1,0,no,60,F,Non M,Yes,south,No,Canterbury,graduate,5,4,No,8,Canterbury,long,English,NZ,fra,No,No,None,5,5,2,9,10,198
1,1,1,no,18-29,NB,Non M,Yes,equal,No,Timaru - Oamaru,high,2,3,No,4,Timaru - Oamaru,long,English,NZ,None,No,No,None,5,5,2,5,10,200
